Store Number,Store Type,Region,Year,Display Name,Address,City,State,Zip Code,Country,Latitude,Longitude
5074,2,Dallas,?,Walmart,430 N Coit Rd,Richardson,TX,75080,US,32.95708799,-96.76758499
5147,1,Dallas,2003,Walmart Supercenter,1521 N Cockrell Hill Rd,Dallas,TX,75211,US,32.763359,-96.897163
5624,4,Dallas,2012,Walmart Neighborhood Market,13100 Josey Ln,Farmers Branch,TX,75234,US,32.92362899,-96.88032499
5810,2,Dallas,2014,Walmart,7075 W Wheatland Rd,Dallas,TX,75249,US,32.64729961,-96.94552592
5889,2,Dallas,2013,Walmart,9410 Webb Chapel Rd,Dallas,TX,75220,US,32.86128021,-96.85825422
5931,1,Dallas,1995,Walmart Supercenter,13739 N Central Expy,Dallas,TX,75243,US,32.936745,-96.75217399
7224,4,Dallas,2015,Walmart Neighborhood Market,350 N Bluegrove Rd,Lancaster,TX,75146,US,32.590991,-96.78619299
7232,4,Dallas,2015,Walmart Neighborhood Market,108 W. Parkerville Road,Desoto,TX,75115,US,32.5752253,-96.8572048
7267,4,Dallas,?,Walmart Neighborhood Market,430 N Coit Rd Tba 5074,Richardson,TX,75080,US,32.95708799,-96.76758499
217,1,Dallas,1978,Walmart Supercenter,801 W Main St,Lewisville,TX,75067,US,33.04681,-97.01339699
259,1,Dallas,1979,Walmart Supercenter,782 E Interstate 30,Rockwall,TX,75087,US,32.89994023,-96.46145425
260,1,Dallas,1979,Walmart Supercenter,1200 N Highway 77,Waxahachie,TX,75165,US,32.417507,-96.84032399
266,1,Dallas,1980,Walmart Supercenter,1601 W State Highway 114,Grapevine,TX,76051,US,32.93215899,-97.097587
426,1,Dallas,1982,Walmart Supercenter,4691 State Highway 121,Colony,TX,75056,US,33.066619,-96.89213499
896,1,Dallas,1986,Walmart Supercenter,2225 W Interstate 20,Grand Prairie,TX,75052,US,32.673855,-97.03574399
949,1,Dallas,1986,Walmart Supercenter,3155 W Wheatland Rd,Dallas,TX,75237,US,32.64787299,-96.871414
1055,1,Dallas,1987,Walmart Supercenter,5302 N Garland Ave,Garland,TX,75040,US,32.96316325,-96.6449435
1117,1,Dallas,1987,Walmart Supercenter,6001 N Central Expy,Plano,TX,75023,US,33.05612899,-96.697181
1178,1,Dallas,1988,Walmart Supercenter,4101 Highway 121,Bedford,TX,76021,US,32.864032,-97.105445
1216,1,Dallas,1988,Walmart Supercenter,1213 E Trinity Mills Rd,Carrollton,TX,75006,US,32.98536599,-96.905731
1801,1,Dallas,1988,Walmart Supercenter,4801 S Cooper St,Arlington,TX,76017,US,32.668674,-97.132507
2086,1,Dallas,?,Walmart Supercenter,1700 Dallas Pkwy,Plano,TX,75093,US,33.02499399,-96.827843
2397,4,Dallas,?,Walmart Neighborhood Market,2951 Matlock Rd,Mansfield,TX,76063,US,32.605415,-97.11631699
2427,1,Dallas,?,Walmart Supercenter,9301 Forest Ln,Dallas,TX,75243,US,32.90927767,-96.73902399
2625,2,Dallas,?,Walmart,1025 West Trinity Mills Mail,Carrollton,TX,75006,US,32.98140699,-96.91223899
2883,1,Dallas,2000,Walmart Supercenter,8801 Ohio Dr,Plano,TX,75024,US,33.097427,-96.79890399
2918,1,Dallas,?,Walmart Supercenter,730 W Exchange Pkwy,Allen,TX,75013,US,33.11945699,-96.67179899
2926,1,Dallas,2000,Walmart Supercenter,6000 Coit Rd,Plano,TX,75023,US,33.055328,-96.768135
